state	power	likelihood
501	1	-8183.46
502	1	-8184.61
503	1	-8185.38
504	1	-8188.38
505	1	-8186.09
506	1	-8188.22
507	1	-8187.43
508	1	-8186.33
509	1	-8186.1
510	1	-8182.29
511	1	-8186.39
512	1	-8182.12
513	1	-8184.4
514	1	-8186.31
515	1	-8185.21
516	1	-8187.01
517	1	-8184.75
518	1	-8185.9
519	1	-8186.86
520	1	-8186.89
521	1	-8186.84
522	1	-8186
523	1	-8183.74
524	1	-8182.86
525	1	-8185.89
526	1	-8184.03
527	1	-8189.28
528	1	-8187.62
529	1	-8181.43
530	1	-8184.33
531	1	-8181.56
532	1	-8185.18
533	1	-8184.37
534	1	-8185.68
535	1	-8182.81
536	1	-8184.22
537	1	-8183.89
538	1	-8184.18
539	1	-8184.65
540	1	-8180.8
541	1	-8179.8
542	1	-8179.14
543	1	-8185
544	1	-8187.9
545	1	-8187.33
546	1	-8195.33
547	1	-8194.57
548	1	-8191.27
549	1	-8189.65
550	1	-8190.98
551	1	-8186.06
552	1	-8185.64
553	1	-8185.41
554	1	-8178.71
555	1	-8182.07
556	1	-8185.67
557	1	-8193.57
558	1	-8189.27
559	1	-8188.33
560	1	-8191.67
561	1	-8190.47
562	1	-8191.12
563	1	-8194.21
564	1	-8189.03
565	1	-8190.89
566	1	-8187.99
567	1	-8186.78
568	1	-8187.85
569	1	-8178.75
570	1	-8178.32
571	1	-8182.06
572	1	-8181.59
573	1	-8182.58
574	1	-8179.77
575	1	-8180.38
576	1	-8181.83
577	1	-8184.85
578	1	-8189.04
579	1	-8182.1
580	1	-8185.72
581	1	-8185.43
582	1	-8182.21
583	1	-8184.95
584	1	-8187.73
585	1	-8181.92
586	1	-8181.31
587	1	-8179.16
588	1	-8183.29
589	1	-8184.91
590	1	-8184.77
591	1	-8184.86
592	1	-8185.36
593	1	-8184.08
594	1	-8187.05
595	1	-8185.97
596	1	-8184.9
597	1	-8182.88
598	1	-8186.39
599	1	-8181
600	1	-8184.71
601	1	-8180.85
602	1	-8183.13
603	1	-8181.5
604	1	-8184.64
605	1	-8183.01
606	1	-8179.9
607	1	-8183.88
608	1	-8181.56
609	1	-8186.27
610	1	-8186.2
611	1	-8187.21
612	1	-8183.09
613	1	-8180.5
614	1	-8184.37
615	1	-8188.54
616	1	-8188.04
617	1	-8185.07
618	1	-8187.63
619	1	-8186.44
620	1	-8188.89
621	1	-8184.91
622	1	-8182.97
623	1	-8185.3
624	1	-8186.45
625	1	-8183.5
626	1	-8184.56
627	1	-8183.14
628	1	-8180.12
629	1	-8183.56
630	1	-8183.77
631	1	-8189.69
632	1	-8190.46
633	1	-8186.55
634	1	-8184.51
635	1	-8184.37
636	1	-8182.43
637	1	-8178.3
638	1	-8182.51
639	1	-8181.44
640	1	-8181.39
641	1	-8193.43
642	1	-8190.64
643	1	-8186.39
644	1	-8187.03
645	1	-8192.09
646	1	-8191.85
647	1	-8183.36
648	1	-8178.29
649	1	-8180.16
650	1	-8183.24
651	1	-8182.19
652	1	-8182.6
653	1	-8184.44
654	1	-8185.89
655	1	-8186.58
656	1	-8183.29
657	1	-8179.36
658	1	-8180.21
659	1	-8177.34
660	1	-8184.85
661	1	-8178.78
662	1	-8188.08
663	1	-8181.62
664	1	-8184.13
665	1	-8182.61
666	1	-8179.55
667	1	-8177.64
668	1	-8176.52
669	1	-8181.93
670	1	-8185.68
671	1	-8192.81
672	1	-8189.19
673	1	-8188.99
674	1	-8196.23
675	1	-8196.08
676	1	-8202.31
677	1	-8202.99
678	1	-8185.98
679	1	-8186.85
680	1	-8193.05
681	1	-8191.97
682	1	-8191.67
683	1	-8187.43
684	1	-8191.22
685	1	-8197.21
686	1	-8192.05
687	1	-8187.74
688	1	-8189.63
689	1	-8187.76
690	1	-8188.51
691	1	-8180.51
692	1	-8188.96
693	1	-8188.11
694	1	-8182.54
695	1	-8180.61
696	1	-8186.08
697	1	-8189.1
698	1	-8184.64
699	1	-8185.99
700	1	-8183.35
701	1	-8183.1
702	1	-8181.73
703	1	-8186.81
704	1	-8188.97
705	1	-8190.89
706	1	-8189.21
707	1	-8188.41
708	1	-8187.32
709	1	-8182.7
710	1	-8187.21
711	1	-8179.49
712	1	-8180.59
713	1	-8181.06
714	1	-8182.02
715	1	-8178.62
716	1	-8180.35
717	1	-8180.63
718	1	-8186.95
719	1	-8187.36
720	1	-8185.73
721	1	-8181.92
722	1	-8181.83
723	1	-8181.05
724	1	-8177.26
725	1	-8181.64
726	1	-8184.66
727	1	-8187.64
728	1	-8190.67
729	1	-8188.44
730	1	-8185.63
731	1	-8183.85
732	1	-8184.97
733	1	-8189.72
734	1	-8189.49
735	1	-8184.65
736	1	-8187.39
737	1	-8186.3
738	1	-8183.72
739	1	-8186.26
740	1	-8188.94
741	1	-8186.03
742	1	-8185.88
743	1	-8189.57
744	1	-8187.02
745	1	-8187.85
746	1	-8186.56
747	1	-8185
748	1	-8185.74
749	1	-8183.95
750	1	-8188.74
751	1	-8196.52
752	1	-8201.03
753	1	-8200.05
754	1	-8189.51
755	1	-8183.32
756	1	-8182.03
757	1	-8186.75
758	1	-8191.55
759	1	-8190.84
760	1	-8189.88
761	1	-8186.27
762	1	-8183.12
763	1	-8188.23
764	1	-8185.41
765	1	-8184.59
766	1	-8180.52
767	1	-8183.31
768	1	-8187.07
769	1	-8189.61
770	1	-8187.31
771	1	-8188.23
772	1	-8187.24
773	1	-8185.04
774	1	-8183.78
775	1	-8182.64
776	1	-8187.22
777	1	-8186.58
778	1	-8187.22
779	1	-8187.1
780	1	-8185.79
781	1	-8183.15
782	1	-8181.69
783	1	-8180.79
784	1	-8183.19
785	1	-8184.6
786	1	-8181.71
787	1	-8185.03
788	1	-8185.57
789	1	-8189.88
790	1	-8184.91
791	1	-8182.06
792	1	-8185.43
793	1	-8183.52
794	1	-8183.79
795	1	-8181.85
796	1	-8184.06
797	1	-8184.9
798	1	-8185.71
799	1	-8182.8
800	1	-8187.04
801	1	-8194.72
802	1	-8191.46
803	1	-8194.29
804	1	-8189.8
805	1	-8186.88
806	1	-8193.85
807	1	-8187.88
808	1	-8185.23
809	1	-8185.5
810	1	-8183.32
811	1	-8180.17
812	1	-8181.72
813	1	-8182.73
814	1	-8179.19
815	1	-8182.51
816	1	-8178.89
817	1	-8180.03
818	1	-8176.99
819	1	-8182.57
820	1	-8187.87
821	1	-8185.53
822	1	-8188.41
823	1	-8193.42
824	1	-8187.61
825	1	-8187.71
826	1	-8182.15
827	1	-8182.56
828	1	-8178.59
829	1	-8181.52
830	1	-8183.45
831	1	-8180.49
832	1	-8184.33
833	1	-8186.89
834	1	-8182.02
835	1	-8180.33
836	1	-8185.99
837	1	-8190.23
838	1	-8185.04
839	1	-8185.66
840	1	-8192.83
841	1	-8187.15
842	1	-8190.93
843	1	-8183.87
844	1	-8182.64
845	1	-8186.33
846	1	-8187.96
847	1	-8184.12
848	1	-8179.68
849	1	-8178.94
850	1	-8181.43
851	1	-8179.38
852	1	-8180.58
853	1	-8182.36
854	1	-8181.86
855	1	-8183.88
856	1	-8182.43
857	1	-8184.92
858	1	-8184.28
859	1	-8182.03
860	1	-8184.82
861	1	-8182.97
862	1	-8187.62
863	1	-8182.94
864	1	-8184.38
865	1	-8192.98
866	1	-8194.58
867	1	-8193.61
868	1	-8195.36
869	1	-8188.22
870	1	-8181.16
871	1	-8187.69
872	1	-8184.19
873	1	-8187.21
874	1	-8182.65
875	1	-8185.96
876	1	-8183.18
877	1	-8178.57
878	1	-8181.36
879	1	-8186.37
880	1	-8181.29
881	1	-8179.9
882	1	-8180.56
883	1	-8181.95
884	1	-8177.83
885	1	-8182.04
886	1	-8178.4
887	1	-8178.5
888	1	-8181.79
889	1	-8178.97
890	1	-8181.59
891	1	-8181.78
892	1	-8185.73
893	1	-8182.9
894	1	-8178.74
895	1	-8180.16
896	1	-8183.28
897	1	-8190.48
898	1	-8187.26
899	1	-8185.4
900	1	-8193.2
901	1	-8187.09
902	1	-8185.12
903	1	-8185.54
904	1	-8183.13
905	1	-8186.08
906	1	-8187.58
907	1	-8188.67
908	1	-8179.94
909	1	-8179.18
910	1	-8178.32
911	1	-8184.59
912	1	-8187.99
913	1	-8185.81
914	1	-8183.71
915	1	-8181.14
916	1	-8182.65
917	1	-8190.12
918	1	-8187.5
919	1	-8186.77
920	1	-8180.92
921	1	-8177.26
922	1	-8179.43
923	1	-8185.25
924	1	-8186.41
925	1	-8188.23
926	1	-8187.39
927	1	-8186.53
928	1	-8187.06
929	1	-8189.34
930	1	-8189.79
931	1	-8189.35
932	1	-8185.88
933	1	-8185.94
934	1	-8183.7
935	1	-8186.49
936	1	-8192.3
937	1	-8188
938	1	-8187.63
939	1	-8183.49
940	1	-8184.08
941	1	-8182.93
942	1	-8186.62
943	1	-8196.33
944	1	-8191.6
945	1	-8185.77
946	1	-8186.62
947	1	-8190.51
948	1	-8195.21
949	1	-8185
950	1	-8182.97
951	1	-8183.75
952	1	-8183.64
953	1	-8191.91
954	1	-8196.53
955	1	-8191.3
956	1	-8186.84
957	1	-8184.16
958	1	-8182.24
959	1	-8182.3
960	1	-8176.98
961	1	-8180.55
962	1	-8185.33
963	1	-8181.56
964	1	-8181.75
965	1	-8183.84
966	1	-8188.17
967	1	-8182.85
968	1	-8185.34
969	1	-8185.42
970	1	-8187.97
971	1	-8179.9
972	1	-8181.33
973	1	-8181.07
974	1	-8189.5
975	1	-8184.79
976	1	-8181.59
977	1	-8183.44
978	1	-8180.44
979	1	-8186.35
980	1	-8185.19
981	1	-8187.65
982	1	-8182.65
983	1	-8183.13
984	1	-8180.08
985	1	-8183.22
986	1	-8186.87
987	1	-8187.87
988	1	-8191.05
989	1	-8191.76
990	1	-8187.16
991	1	-8182.47
992	1	-8180.47
993	1	-8180.5
994	1	-8183.36
995	1	-8180.23
996	1	-8182.74
997	1	-8182.57
998	1	-8186.51
999	1	-8182.62
1000	1	-8179.9
1001	1	-8179.89
1002	1	-8180.49
1003	1	-8184.55
1004	1	-8184.39
1005	1	-8184.48
1006	1	-8194.02
1007	1	-8193.41
1008	1	-8191.46
1009	1	-8189.61
1010	1	-8186.59
1011	1	-8179.19
1012	1	-8178.84
1013	1	-8182.68
1014	1	-8188.33
1015	1	-8184.73
1016	1	-8186.95
1017	1	-8189.52
1018	1	-8184.95
1019	1	-8181.77
1020	1	-8179.92
1021	1	-8180.48
1022	1	-8183.93
1023	1	-8184.26
1024	1	-8185.55
1025	1	-8186.64
1026	1	-8183.02
1027	1	-8185.54
1028	1	-8186.76
1029	1	-8189.66
1030	1	-8191.65
1031	1	-8192.18
1032	1	-8192.41
1033	1	-8189.48
1034	1	-8190.59
1035	1	-8182.63
1036	1	-8181.17
1037	1	-8180.65
1038	1	-8178.2
1039	1	-8181.11
1040	1	-8184.12
1041	1	-8179.19
1042	1	-8179.2
1043	1	-8192.58
1044	1	-8196.28
1045	1	-8191.79
1046	1	-8182.17
1047	1	-8184.73
1048	1	-8185.44
1049	1	-8186.13
1050	1	-8187.28
1051	1	-8183
1052	1	-8188.07
1053	1	-8189.12
1054	1	-8184.16
1055	1	-8178.76
1056	1	-8181.38
1057	1	-8187.82
1058	1	-8188.56
1059	1	-8189.88
1060	1	-8191.86
1061	1	-8193.79
1062	1	-8184.18
1063	1	-8183.41
1064	1	-8179.08
1065	1	-8177.81
1066	1	-8177.2
1067	1	-8181.5
1068	1	-8180.27
1069	1	-8181.08
1070	1	-8180.13
1071	1	-8183.32
1072	1	-8189.84
1073	1	-8186.38
1074	1	-8182.27
1075	1	-8182.24
1076	1	-8186.92
1077	1	-8184.03
1078	1	-8185.92
1079	1	-8181.54
1080	1	-8181.9
1081	1	-8179.74
1082	1	-8178.59
1083	1	-8181.35
1084	1	-8180.04
1085	1	-8184.87
1086	1	-8183.57
1087	1	-8180.85
1088	1	-8183.61
1089	1	-8187.86
1090	1	-8183.83
1091	1	-8186.17
1092	1	-8184.46
