state	power	likelihood
251	1	-7998.87
252	1	-8000.79
253	1	-7996.15
254	1	-7993.36
255	1	-7995.09
256	1	-8000.45
257	1	-8001.72
258	1	-8000.93
259	1	-8004.92
260	1	-8003.6
261	1	-8001.59
262	1	-8002.21
263	1	-8002.7
264	1	-8002.32
265	1	-8002.83
266	1	-8003.41
267	1	-8002.73
268	1	-8000.89
269	1	-8004.56
270	1	-8004.09
271	1	-8005.09
272	1	-8003.12
273	1	-8004.22
274	1	-8005.29
275	1	-8003.95
276	1	-8007.27
277	1	-8000.96
278	1	-8002.45
279	1	-8004.71
280	1	-8009.97
281	1	-8004.67
282	1	-8007.46
283	1	-8006.04
284	1	-7997.65
285	1	-7998.56
286	1	-7998.34
287	1	-7999
288	1	-8001.96
289	1	-8003.15
290	1	-8001.74
291	1	-8003.36
292	1	-8001.38
293	1	-8001.64
294	1	-8004.4
295	1	-8003.88
296	1	-8009.85
297	1	-8008.01
298	1	-8005.38
299	1	-8002.72
300	1	-7999.73
301	1	-7998.59
302	1	-8001.88
303	1	-8013
304	1	-8004.19
305	1	-7997.76
306	1	-8006.66
307	1	-8004.82
308	1	-8002.65
309	1	-8002.28
310	1	-8000.27
311	1	-7993.96
312	1	-7996.67
313	1	-7996.14
314	1	-8000.28
315	1	-7996.76
316	1	-8001.04
317	1	-8002.07
318	1	-8000.39
319	1	-7996.46
320	1	-7996.89
321	1	-8000.59
322	1	-7998.73
323	1	-8002.57
324	1	-8000.89
325	1	-8000.97
326	1	-8001
327	1	-8002.7
328	1	-8001.23
329	1	-8005.1
330	1	-8006.72
331	1	-8005.12
332	1	-8005.93
333	1	-8001.58
334	1	-8001.96
335	1	-8006.99
336	1	-8003.09
337	1	-8001.2
338	1	-8001.03
339	1	-7997.99
340	1	-7999.75
341	1	-7999.11
342	1	-7996.32
343	1	-7996.72
344	1	-7998.94
345	1	-7998.31
346	1	-8002.99
347	1	-8002.84
348	1	-7995.37
349	1	-7995.52
350	1	-8000.85
351	1	-7993.63
352	1	-7998.2
353	1	-7998.86
354	1	-8004.48
355	1	-8005.26
356	1	-8008.07
357	1	-8010.42
358	1	-8011.78
359	1	-8001.28
360	1	-7998.23
361	1	-8000.91
362	1	-8001.28
363	1	-7999.11
364	1	-7997.92
365	1	-8006.62
366	1	-8011.27
367	1	-8013.34
368	1	-8007.54
369	1	-8009.9
370	1	-8010.44
371	1	-8006.55
372	1	-8002.96
373	1	-8003.06
374	1	-8004.73
375	1	-8002.62
376	1	-8006.06
377	1	-8007.48
378	1	-8011.74
379	1	-8012.05
380	1	-8001.07
381	1	-8002.71
382	1	-8003.63
