sample;ploidy;run1;run2;run3;run4;run5;average;recommended_ploidy;bayes_factor_between_1stand2nd;evidence
n_KKS2_103;3;-8103.783;-8124.759;-8168.223;-8400.285;-8079.067;-8132.255;4;6.153;Positive
n_KKS2_103;4;-8085.917;-8082.002;-8210.387;-8228.007;-8126.792;-8126.102;4;6.153;Positive
n_KKS5_167;2;-8108.341;-8126.582;-8206.638;-8075.05;-8138.04;-8147.187;4;57.767;Strong
n_KKS5_167;3;-8221.859;-8072.323;-8124.636;-8073.027;-8120.01;-8139.606;4;57.767;Strong
n_KKS5_167;4;-8072.036;-8101.747;-8071.734;-8110.915;-8161.587;-8081.839;4;57.767;Strong
n_KKS8_104;2;-8107.572;-8161.703;-8073.265;-8091.563;-8089.234;-8114.180;4;20.363;Strong
n_KKS8_104;3;-8285.383;-8200.431;-8380.907;-8071.133;-8096.347;-8288.907;4;20.363;Strong
n_KKS8_104;4;-8088.853;-8085.751;-8106.847;-8073.084;-8248.396;-8093.817;4;20.363;Strong
n_KPJ1_043;2;-8303.692;-8189.049;-8189.108;-8223.059;-8190.907;-8227.283;4;63.086;Strong
n_KPJ1_043;3;-8091.68;-8219.836;-8099.637;-8156.666;-8107.446;-8137.051;4;63.086;Strong
n_KPJ1_043;4;-8085.779;-8075.883;-8060.233;-8058.619;-8244.276;-8073.965;4;63.086;Strong
n_KPS2_091;2;-8143.706;-8082.72;-8141.418;-8082.548;-8157.824;-8122.615;3;3.898;Positive
n_KPS2_091;3;-8098.939;-8185.525;-8071.686;-8143.943;-8116.118;-8118.717;3;3.898;Positive
n_KPS2_091;4;-8170.911;-8151.37;-8250.901;-8236.139;-8076.901;-8191.061;3;3.898;Positive
n_KPS5_158;2;-8111.8;-8165.303;-8207.224;-8068.246;-8062.452;-8161.442;4;16.273;Positive
n_KPS5_158;3;-8100.619;-8067.14;-8079.21;-8070.037;-8138.45;-8082.323;4;16.273;Positive
n_KPS5_158;4;-8062.379;-8067.527;-8068.244;-8166.109;-8173.627;-8066.050;4;16.273;Positive
n_KPS8_092;2;-8076.173;-8056.747;-8056.484;-8070.229;-8105.641;-8063.135;2;2.696;Not_worth_more_than_a_bare_mention
n_KPS8_092;3;-8089.764;-8118.088;-8289.662;-8097.2;-8076.401;-8165.838;2;2.696;Not_worth_more_than_a_bare_mention
n_KPS8_092;4;-8063.134;-8058.217;-8076.142;-8099.917;-8112.611;-8065.831;2;2.696;Not_worth_more_than_a_bare_mention
n_KVIS2_001;2;-8039.071;-8054.312;-8089.396;-8071.153;-8224.915;-8060.926;2;50.518;Strong
n_KVIS2_001;3;-8073.038;-8042.632;-8218.664;-8173.928;-8039.988;-8111.445;2;50.518;Strong
n_KVIS2_001;4;-8213.47;-8091.126;-8138.502;-8285.624;-8043.744;-8147.699;2;50.518;Strong
n_KVIS8_002;3;-8134.9;-8131.654;-8135.333;-8273.025;-8165.255;-8133.962;3;128.787;Strong
n_KVIS8_002;4;-8273.025;-8381.729;-8133.493;-8238.817;-8133.969;-8262.749;3;128.787;Strong
n_KVS5_155;3;-8137.759;-8179.233;-8137.89;-8190.54;-8132.497;-8151.627;4;2.574;Not_worth_more_than_a_bare_mention
n_KVS5_155;4;-8177.312;-8131.935;-8137.913;-8126.056;-8144.135;-8149.053;4;2.574;Not_worth_more_than_a_bare_mention
n_LBK10_042;2;-8173.342;-8117.81;-8239.199;-8149.967;-8165.162;-8176.784;4;18.504;Positive
n_LBK10_042;3;-8127.759;-8226.845;-8170.605;-8186.505;-8248.886;-8175.070;4;18.504;Positive
n_LBK10_042;4;-8230.59;-8119.254;-8119.852;-8229.64;-8243.489;-8156.565;4;18.504;Positive
n_LBK1_041;3;-8123.422;-8253.514;-8187.042;-8123.166;-8123.441;-8187.993;3;7.806;Positive
n_LBK1_041;4;-8199.949;-8128.717;-8258.731;-8231.988;-8217.624;-8195.799;3;7.806;Positive
n_LBK5_159;3;-8394.746;-8179.313;-8168.649;-8212.092;-8272.769;-8247.569;3;62.538;Strong
n_LBK5_159;4;-8385.143;-8303;-8242.178;-8256.789;-8227.495;-8310.107;3;62.538;Strong
n_LNSA2_034;2;-8046.297;-8026.404;-8027.478;-8026.587;-8038.185;-8033.393;2;30.274;Strong
n_LNSA2_034;3;-8082.646;-8027.579;-8093.48;-8159.536;-8064.27;-8067.902;2;30.274;Strong
n_LNSA2_034;4;-8047.581;-8114.654;-8028.766;-8090.967;-8084.453;-8063.667;2;30.274;Strong
n_LNSA5_132;3;-8310.281;-8112.957;-8267.21;-8121.967;-8124.552;-8230.149;4;42.948;Strong
n_LNSA5_132;4;-8227.598;-8161.13;-8172.876;-8164.477;-8165.039;-8187.201;4;42.948;Strong
n_LNSA8_035;3;-8274.406;-8128.151;-8089.799;-8187.192;-8087.64;-8164.119;3;23.577;Strong
n_LNSA8_035;4;-8257.036;-8076.366;-8229.684;-8102.701;-8184.101;-8187.695;3;23.577;Strong
n_LSA5_130;2;-8101.92;-8158.43;-8099.635;-8061.896;-8286.154;-8119.995;4;32.647;Strong
n_LSA5_130;3;-8120.039;-8137.205;-8097.395;-8071.558;-8132.888;-8118.213;4;32.647;Strong
n_LSA5_130;4;-8100.934;-8066.896;-8088.868;-8254.273;-8121.879;-8085.566;4;32.647;Strong
n_LSRA2_027;3;-8113.931;-8155.245;-8221.707;-8125.166;-8366.214;-8163.628;4;17.076;Positive
n_LSRA2_027;4;-8149.601;-8165.326;-8124.727;-8115.768;-8311.599;-8146.551;4;17.076;Positive
n_LSRA8_028;2;-8122.809;-8115.516;-8118.447;-8150.977;-8165.871;-8118.924;2;20.997;Strong
n_LSRA8_028;3;-8111.126;-8197.315;-8111.321;-8169.857;-8110.309;-8139.921;2;20.997;Strong
n_LSRA8_028;4;-8144.295;-8319.147;-8114.349;-8376.276;-8111.958;-8192.597;2;20.997;Strong
n_LZS1_116;3;-8249.377;-8126.243;-8156.457;-8120.23;-8120.599;-8177.359;3;17.476;Positive
n_LZS1_116;4;-8131.921;-8193.149;-8259.435;-8144.622;-8200.81;-8194.835;3;17.476;Positive
n_LZS4_152;2;-8091.461;-8079.091;-8048.609;-8106.8;-8049.06;-8073.054;2;12.916;Positive
n_LZS4_152;3;-8095.584;-8152.893;-8046.174;-8042.4;-8044.339;-8098.217;2;12.916;Positive
n_LZS4_152;4;-8057.345;-8104.687;-8095.877;-8082.733;-8076.082;-8085.970;2;12.916;Positive
n_LZS8_117;2;-8103.978;-8047.12;-8255.569;-8035.942;-8075.601;-8135.556;3;2.752;Not_worth_more_than_a_bare_mention
n_LZS8_117;3;-8062.449;-8102.632;-8051.169;-8038.913;-8128.343;-8072.083;3;2.752;Not_worth_more_than_a_bare_mention
n_LZS8_117;4;-8061.014;-8113.007;-8050.484;-8219.535;-8094.165;-8074.835;3;2.752;Not_worth_more_than_a_bare_mention
n_MDS2_003;2;-8040.477;-8097.421;-8066.849;-8099.015;-8068.55;-8068.249;2;49.813;Strong
n_MDS2_003;3;-8051.44;-8140.176;-8162.569;-8055.163;-8075.69;-8118.062;2;49.813;Strong
n_MDS2_003;4;-8051.975;-8132.962;-8230.369;-8057.529;-8076.559;-8138.435;2;49.813;Strong
n_MDS5_156;2;-8104.532;-8107.904;-8145.043;-8112.017;-8129.764;-8119.160;2;41.183;Strong
n_MDS5_156;3;-8171.564;-8333.155;-8217.586;-8280.388;-8121.432;-8240.768;2;41.183;Strong
n_MDS5_156;4;-8187.099;-8196.578;-8097.351;-8105.486;-8098.827;-8160.343;2;41.183;Strong
n_MDS8_004;2;-8079.098;-8055.439;-8048.961;-8075.689;-8078.037;-8061.166;2;38.157;Strong
n_MDS8_004;3;-8145.739;-8058.256;-8093.975;-8053.693;-8303.704;-8099.323;2;38.157;Strong
